transactionid,customerid,franchiseid,datetime,product,quantity,unitprice,totalprice,paymentmethod,cardnumber
1002961,2000253,3000047,2024-05-14 12:17:01.495,Golden Gate Ginger,8,3,24,amex,378154478982993
1003007,2000226,3000047,2024-05-10 23:10:10.239,Austin Almond Biscotti,36,3,108,mastercard,2244626981238094
1003017,2000108,3000047,2024-05-16 16:34:10.613,Austin Almond Biscotti,40,3,120,mastercard,2490570234487424
1003068,2000173,3000047,2024-05-02 04:31:51.612,Pearly Pies,28,3,84,amex,343808569426192
1003103,2000075,3000047,2024-05-04 23:44:26.902,Pearly Pies,28,3,84,visa,4377080942201798
1003147,2000295,3000047,2024-05-15 16:17:06.259,Austin Almond Biscotti,32,3,96,amex,371093774812677
1003196,2000237,3000047,2024-05-07 11:13:22.469,Tokyo Tidbits,40,3,120,mastercard,5538807345848392
1003329,2000272,3000047,2024-05-06 03:32:16.017,Outback Oatmeal,28,3,84,visa,4872480716880043
1001264,2000209,3000047,2024-05-16 17:32:28.547,Pearly Pies,28,3,84,mastercard,5287105980593305
1001287,2000120,3000047,2024-05-15 08:41:28.406,Austin Almond Biscotti,40,3,120,amex,376211012259783
1001335,2000246,3000047,2024-05-15 11:23:27.457,Golden Gate Ginger,36,3,108,visa,4820866586481966
1001363,2000064,3000047,2024-05-06 14:29:05.562,Golden Gate Ginger,40,3,120,amex,377167597236886
1001425,2000165,3000047,2024-05-08 15:42:59.281,Pearly Pies,8,3,24,visa,4396976839795585
1001448,2000270,3000047,2024-05-12 19:15:02.549,Golden Gate Ginger,24,3,72,visa,4194531844898074
1001475,2000082,3000047,2024-05-16 20:42:25.666,Outback Oatmeal,40,3,120,visa,4958220510666603
1001493,2000270,3000047,2024-05-06 01:28:53.109,Tokyo Tidbits,24,3,72,visa,4938040664554206
1001544,2000051,3000047,2024-05-01 16:37:38.133,Pearly Pies,8,3,24,visa,4906017870499754
1001695,2000059,3000047,2024-05-05 10:49:43.52,Orchard Oasis,36,3,108,visa,4714694106787061
1001700,2000084,3000047,2024-05-10 15:39:48.14,Pearly Pies,16,3,48,amex,345342709553150
1001739,2000275,3000047,2024-05-11 04:00:52.101,Orchard Oasis,24,3,72,visa,4400596746879563
1001921,2000075,3000047,2024-05-14 18:24:01.486,Pearly Pies,40,3,120,visa,4136664097685632
1001926,2000061,3000047,2024-05-06 23:40:21.971,Austin Almond Biscotti,36,3,108,amex,371936566637829
1001933,2000004,3000047,2024-05-13 14:15:39.212,Austin Almond Biscotti,16,3,48,amex,373990517874641
1001960,2000031,3000047,2024-05-02 10:17:42.851,Outback Oatmeal,20,3,60,visa,4119792413963812
1000032,2000020,3000047,2024-05-12 09:28:27.189,Tokyo Tidbits,12,3,36,visa,4193044984593712
1000110,2000054,3000047,2024-05-10 12:57:32.696,Austin Almond Biscotti,12,3,36,amex,374210995172460
1000210,2000084,3000047,2024-05-10 18:23:24.732,Tokyo Tidbits,4,3,12,amex,349858490487874
1000241,2000139,3000047,2024-05-14 11:52:07.945,Outback Oatmeal,28,3,84,amex,379418080613653
1000243,2000215,3000047,2024-05-15 20:31:43.412,Outback Oatmeal,32,3,96,amex,345077120760097
1000295,2000174,3000047,2024-05-06 09:10:28.339,Outback Oatmeal,12,3,36,visa,4751590407568073
1000299,2000080,3000047,2024-05-05 11:32:48.287,Austin Almond Biscotti,8,3,24,mastercard,2720851852819714
1000359,2000260,3000047,2024-05-01 11:42:42.342,Golden Gate Ginger,4,3,12,mastercard,2706418358353982
1000364,2000089,3000047,2024-05-06 12:05:06.468,Pearly Pies,12,3,36,amex,378005039788206
1000387,2000116,3000047,2024-05-06 21:16:51.627,Golden Gate Ginger,32,3,96,mastercard,2573670294448256
1000850,2000030,3000047,2024-05-03 19:01:55.993,Golden Gate Ginger,24,3,72,amex,377961718885518
1000864,2000290,3000047,2024-05-06 20:46:49.24,Golden Gate Ginger,4,3,12,amex,374259822011664
1000868,2000181,3000047,2024-05-07 01:58:53.938,Pearly Pies,36,3,108,visa,4785313234942308
1000884,2000297,3000047,2024-05-07 05:35:21.903,Pearly Pies,28,3,84,mastercard,5590593428535404
1000922,2000057,3000047,2024-05-10 02:51:04.764,Outback Oatmeal,16,3,48,mastercard,2720543524399643
1000987,2000261,3000047,2024-05-05 14:02:28.756,Golden Gate Ginger,20,3,60,mastercard,5356140205116349
1001000,2000152,3000047,2024-05-02 12:55:43.803,Orchard Oasis,20,3,60,amex,344476712784922
1001133,2000032,3000047,2024-05-09 12:15:54.222,Tokyo Tidbits,36,3,108,amex,345684154885292
1001165,2000206,3000047,2024-05-07 13:43:18.143,Austin Almond Biscotti,24,3,72,mastercard,5436125534828684
1001197,2000264,3000047,2024-05-08 09:54:13.686,Orchard Oasis,40,3,120,visa,4566822427659581
1002341,2000007,3000047,2024-05-05 02:26:26.055,Orchard Oasis,40,3,120,mastercard,2706934717277308
1002345,2000179,3000047,2024-05-06 01:21:03.983,Austin Almond Biscotti,40,3,120,amex,373949519201575
1002387,2000102,3000047,2024-05-07 08:03:34.255,Tokyo Tidbits,36,3,108,visa,4639641000636292
1002395,2000172,3000047,2024-05-12 04:08:40.286,Orchard Oasis,40,3,120,amex,371514666820247
